Date,Open,High,Low,Close,Volume
12/27/2000,131.75,133.734375,131.25,88.687157,4854100
12/28/2000,132.8125,133.875,132.59375,88.957397,8358700
12/29/2000,134.0625,134.28125,131.1875,87.273468,8774600
1/2/2001,132,132.15625,127.5625,85.693504,8737500
1/3/2001,128.3125,136,127.65625,89.809776,19431600
1/4/2001,134.9375,135.46875,133,88.843071,9219000
1/5/2001,133.46875,133.625,129.1875,85.94297,12911400
1/8/2001,129.875,130.1875,127.6875,86.608246,6625300
1/9/2001,131.046875,131.5,129.421875,86.379509,5702400
1/10/2001,129,132.125,128.8125,87.897179,8746100
1/11/2001,131.09375,133.484375,131.09375,87.980316,7245100
1/12/2001,132.6875,133.71875,131.28125,87.814011,7244000
1/16/2001,132,133.1875,131.515625,88.375313,8542200
1/17/2001,134.84375,135.046875,132.640625,88.780731,7851400
1/18/2001,133.4375,135.703125,132.9375,89.664268,8107000
1/19/2001,136.1875,136.1875,133.875,89.15493,7782500
1/22/2001,134.25,135.78125,133.5625,89.747429,7050900
1/23/2001,134.46875,136.65625,134.15625,90.454254,8463100
1/24/2001,136.25,137.3125,135.84375,90.724518,6199900
1/25/2001,136.25,137.25,135.65625,90.495796,10818300
1/26/2001,135.15625,136.125,134.453125,90.391891,7136800
1/29/2001,135.5,136.899994,135.369995,90.874184,6705900
1/30/2001,136.300003,137.919998,135.789993,91.672501,7069100
1/31/2001,137.399994,138.699997,136.600006,91.153595,9706900
2/1/2001,137.100006,137.949997,136.25,91.758972,8239100
2/2/2001,137.399994,137.990005,134.75,89.676712,8276600
2/5/2001,134.800003,135.940002,134.75,90.335297,4352900
2/6/2001,135.300003,136.699997,135.220001,90.069221,7106700
2/7/2001,134.720001,135.399994,133.679993,89.603516,5748700
2/8/2001,134.800003,135.399994,133.100006,88.559067,5943300
2/9/2001,133.350006,133.350006,131.259995,87.707558,9913000
2/12/2001,131.699997,133.5,131.699997,88.712151,5804400
2/13/2001,133.699997,134.169998,132,87.986946,6587600
2/14/2001,132.649994,132.649994,130.660004,87.85392,8400100
2/15/2001,132.839996,133.520004,131.990005,88.705399,5929800
2/16/2001,131,131.289993,129.300003,86.749588,6434900
2/20/2001,131.039993,131.139999,128.100006,85.412422,5760000
2/21/2001,127.900002,128.839996,125.5,83.569679,10910800
2/22/2001,126.349998,126.540001,123.019997,83.696053,21281600
2/23/2001,125.080002,125.540001,121.800003,83.130592,20173000
2/26/2001,125.800003,127.620003,124.5,84.900192,11503700
2/27/2001,126.800003,127.839996,125.510002,84.115196,11415000
2/28/2001,126.75,126.839996,123.269997,82.458656,14825800
3/1/2001,124.050003,124.599998,121.75,82.89109,14672000
3/2/2001,122.5,125.650002,122.300003,82.232521,12564300
3/5/2001,124.150002,124.779999,123.809998,82.984283,5293200
3/6/2001,126.349998,127.75,125.489998,83.875702,6917000
3/7/2001,126.900002,127.040001,125.760002,84.474388,6371700
3/8/2001,126.599998,127.239998,126.139999,84.567566,6055000
3/9/2001,126.099998,126.099998,123.110001,82.066177,10020300
3/12/2001,122.339996,122.5,117.75,78.553642,13972900
3/13/2001,119.400002,120.440002,117.529999,79.844215,12888000
3/14/2001,117.050003,119.290001,115.75,78.26757,19883400
3/15/2001,118.449997,118.860001,117.360001,78.287521,10370300
3/16/2001,117.129997,117.400002,114.809998,76.7173,58514600
3/19/2001,115.760002,117.690002,114.82,78.278175,10067800
3/20/2001,117.900002,118.459999,114.110001,76.177002,15083900
3/21/2001,114.18,115.260002,111.900002,74.882881,19004600
3/22/2001,112.019997,112.599998,108.040001,74.122482,28624800
3/23/2001,113.25,114.660004,111.5,76.363724,12861700
3/26/2001,115.699997,116.269997,114.769997,77.337646,9943800
3/27/2001,115.620003,118.650002,115.279999,78.918541,12880700
3/28/2001,116.900002,116.949997,114.900002,76.737305,10953300
3/29/2001,114.699997,116.5,112.139999,77.030823,12060300
3/30/2001,115.550003,116.690002,114.5,77.837929,9183600
4/2/2001,116.300003,117.379997,113.800003,76.177002,10561000
4/3/2001,113.980003,114.150002,110.059998,73.635536,12836000
4/4/2001,110.57,112.099998,109.300003,73.942337,14884300
4/5/2001,113.300003,115.489998,112.5,76.743973,21522800
4/6/2001,113.989998,114.400002,112.059998,75.576599,14937800
4/9/2001,114,114.989998,112.779999,76.41713,9034300
4/10/2001,115.449997,117.75,115.169998,77.811256,17873600
4/11/2001,118.779999,118.989998,116.139999,77.864647,12722300
4/12/2001,116.300003,118.940002,115.959999,79.278755,9233200
4/16/2001,118.290001,118.889999,116.910004,78.444939,7350000
4/17/2001,117.309998,119.660004,117.019997,79.552246,10924700
4/18/2001,121.059998,126,120.690002,82.71405,32481600
4/19/2001,124.25,125.839996,123.580002,83.814674,13809900
4/20/2001,124.900002,125.400002,123.660004,83.0476,7626700
4/23/2001,123.650002,123.889999,121.910004,81.540047,8451800
4/24/2001,122.519997,123.650002,121.099998,81.09977,10044700
4/25/2001,121.419998,123.669998,120.949997,82.1604,8249000
4/26/2001,123.730003,125.220001,123.5,82.52729,10590400
4/27/2001,124.919998,125.839996,124.199997,83.901405,7938700
4/30/2001,126.449997,127.269997,124.669998,84.488411,10766900
5/1/2001,125.07,127.150002,124.599998,84.74855,10578000
5/2/2001,127.410004,127.690002,126,84.595108,9572900
5/3/2001,126.129997,126.150002,124.220001,83.521172,9926200
5/4/2001,123.650002,127.349998,123.440002,84.941963,12145300
5/7/2001,126.860001,127.379997,126.230003,84.208199,7185200
5/8/2001,126.860001,127.099998,125.559998,84.16819,6952600
5/9/2001,125.25,126.550003,125.059998,83.814674,9507400
5/10/2001,127.260002,127.5,125.769997,84.061478,6872400
5/11/2001,126,126.489998,124.400002,83.481178,7734400
5/14/2001,124.900002,125.440002,124.459999,83.647919,7914000
5/15/2001,125.550003,126.5,124.849998,84.034805,9782200
5/16/2001,124.839996,129.199997,124.620003,86.015945,14909000
5/17/2001,129,130.080002,128.559998,86.149338,11824600
5/18/2001,129.089996,129.740005,128.100006,86.542892,6683100
5/21/2001,129.839996,131.839996,129.149994,87.816994,11531500
5/22/2001,131.830002,132.089996,131.070007,87.703552,8342700
5/23/2001,131.050003,131.050003,129.25,86.216057,12330800
5/24/2001,129.470001,130,128.550003,86.469528,7902800
5/25/2001,129.649994,129.699997,127.900002,85.448959,7425000
5/29/2001,128.220001,128.350006,126.900002,84.76857,9003900
5/30/2001,126.589996,127.089996,125,83.581184,10041800
5/31/2001,125.43,126.760002,125.260002,84.014824,9874200
6/1/2001,126.199997,127.099998,125.120003,84.535088,8848300
6/4/2001,126.800003,127.43,126.080002,84.941963,5623500
6/5/2001,127.489998,129.229996,127.269997,85.915924,9115400
6/6/2001,128.830002,128.830002,127.360001,85.202126,12064900
6/7/2001,127.050003,128.350006,127,85.50898,7355300
6/8/2001,127.699997,127.870003,126.139999,84.715187,8170600
6/11/2001,126.709999,126.989998,125.410004,84.114868,7012200
6/12/2001,124.860001,126.739998,124.040001,83.968094,9364400
6/13/2001,126.169998,126.580002,124.650002,83.247688,7629400
6/14/2001,124.18,124.300003,121.75,81.379982,12603000
6/15/2001,120.910004,122.400002,120.400002,81.511063,16821100
6/18/2001,121.650002,122.440002,120.910004,81.116386,11368300
6/19/2001,122.379997,122.889999,120.889999,81.470932,7732300
